Left Voltage, Right Voltage, Unprofiled Goal Position, Unprofiled Goal Velocity Start, Unprofiled Goal Velocity Cruise, Unprofiled Goal Velocity End, Profiled Goal Position, Profiled Goal Velocity, Cruise Time, Accel Time, Deccel Time
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 2.5e-05, 0.005, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 7.500000000000001e-05, 0.01, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00015000000000000001, 0.015, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00025, 0.02, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.000375, 0.025, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0005250000000000001, 0.030000000000000002, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0007000000000000001, 0.035, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0009000000000000001, 0.04, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0011250000000000001, 0.045, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0013750000000000001, 0.049999999999999996, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00165, 0.05499999999999999, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00195, 0.05999999999999999, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0022749999999999997, 0.06499999999999999, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0026249999999999997, 0.06999999999999999, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0029999999999999996, 0.075, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.0034, 0.08, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.003825, 0.085, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.004275, 0.09000000000000001, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00475, 0.09500000000000001, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00525, 0.10000000000000002, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.005775000000000001, 0.10500000000000002, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.006325000000000001, 0.11000000000000003, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.006900000000000001, 0.11500000000000003, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.007500000000000001, 0.12000000000000004, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.008125, 0.12500000000000003, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.008775, 0.13000000000000003, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.00945, 0.13500000000000004, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
0.0, 0.0, 0.3, 0.0, 0.5477225575051661, 0.0, 0.010150000000000001, 0.14000000000000004, 1.013490324081353e-16, 0.5477225575051661, 0.5477225575051661
