i, in, out_r, out_c, mag
93, 0.759713, 4.74021e-05, -7.76695e-05, 9.09918e-05
94, 0.217435, 6.43885e-05, 6.15969e-05, 8.9107e-05
95, -1.21881, -3.13158e-05, -1.17835e-05, 3.34594e-05
96, -2, -3.02658e-05, 3.0109e-05, 4.26916e-05
97, -1.21881, -1.846e-05, 7.02158e-05, 7.26018e-05
98, 0.217438, -5.06297e-05, 3.62439e-05, 6.22655e-05
99, 0.759711, -9.21393e-05, -5.14702e-05, 0.000105541
100, 0.18759, 5.70483e-06, -6.38376e-05, 6.4092e-05
101, -0.216165, -4.24437e-05, -3.3016e-05, 5.37729e-05
102, 0.509385, 2.38416e-05, -2.05297e-05, 3.14625e-05
103, 1.6285, 7.31495e-06, 4.95832e-05, 5.01199e-05
104, 1.63099, -3.96219e-05, -5.7195e-05, 6.95785e-05
105, 0.24122, 1.70188e-05, -4.42528e-05, 4.74126e-05
106, -1.15203, 1.15458e-05, -4.32735e-05, 4.47873e-05
107, -1.23009, 2.5173e-05, -2.40295e-05, 3.48009e-05
108, -0.368313, 5.73036e-05, 7.69141e-06, 5.78175e-05
109, -0.025153, -3.78968e-06, 3.16773e-05, 3.19032e-05
110, -0.733454, 4.39215e-05, -4.60733e-06, 4.41625e-05
111, -1.37539, -1.2799e-05, 5.40983e-05, 5.55917e-05
112, -0.707112, -1.08369e-05, -9.92595e-06, 1.46957e-05
113, 0.89895, -7.07354e-06, 3.54151e-05, 3.61146e-05
114, 1.82666, -3.79613e-05, 3.85709e-06, 3.81567e-05
115, 1.23818, -5.52343e-06, -1.19239e-05, 1.31411e-05
116, 0.092414, -2.18037e-06, -7.34949e-06, 7.66609e-06
117, -0.168819, -2.27356e-05, 3.90616e-05, 4.51965e-05
118, 0.48537, 3.74817e-06, -3.06162e-06, 4.83966e-06
119, 0.708513, -3.66577e-05, -2.26101e-05, 4.30697e-05
120, -0.324428, -6.24225e-05, -3.04467e-05, 6.94519e-05
121, -1.6979, 2.40561e-05, -5.65266e-05, 6.14325e-05
122, -1.86271, 3.51563e-05, 3.89669e-06, 3.53716e-05
123, -0.626279, -6.74579e-05, -4.48971e-05, 8.10328e-05
124, 0.598104, 0.000109582, -8.41887e-06, 0.000109905
125, 0.612116, 2.75684e-05, -4.55853e-05, 5.32732e-05
126, -0.07882, -3.07431e-06, 0.000140253, 0.000140287
127, -0.0596223, -3.51199e-05, -5.4458e-05, 6.48003e-05
128, 1, 3.18289e-05, 0, 3.18289e-05
129, 1.82346
130, 1.18997
131, -0.416083
132, -1.36347
133, -0.919737
134, -0.0988607
135, -0.215996
136, -1.08979
137, -1.28908
138, -0.0951861
139, 1.43759
140, 1.75535
141, 0.752202
142, -0.163715
143, 0.0438357
144, 0.707103
145, 0.432589
146, -0.929475
147, -1.96521
148, -1.47945
149, -0.0386931
150, 0.761844
151, 0.339342
152, -0.216778
153, 0.28538
154, 1.45218
155, 1.76218
156, 0.577784
157, -0.955742
158, -1.32858
159, -0.545028
160, 0
161, -0.545026
162, -1.32858
163, -0.955746
164, 0.577764
165, 1.76219
166, 1.45218
167, 0.285368
168, -0.216775
169, 0.339347
170, 0.761849
171, -0.0386952
172, -1.47945
173, -1.96521
174, -0.929473
175, 0.432585
176, 0.707117
177, 0.0438523
178, -0.163714
179, 0.752202
180, 1.75535
181, 1.43759
182, -0.0951813
183, -1.28908
184, -1.08979
185, -0.215987
186, -0.0988671
187, -0.91975
188, -1.36347
189, -0.416101
190, 1.18995
191, 1.82347
192, 1
193, -0.0596237
194, -0.0788227
195, 0.612122
196, 0.598104
197, -0.626279
198, -1.86271
199, -1.69789
200, -0.324412
201, 0.708515
202, 0.485366
203, -0.168814
204, 0.0924036
205, 1.23816
206, 1.82666
207, 0.89895
208, -0.707111
209, -1.37539
210, -0.733451
211, -0.0251564
212, -0.368315
213, -1.23009
214, -1.15203
215, 0.241219
216, 1.63098
217, 1.62849
218, 0.509393
219, -0.216168
220, 0.187595
221, 0.75972
222, 0.217431
223, -1.21881
224, -2
225, -1.21881
226, 0.217437
227, 0.759709
228, 0.187597
229, -0.216165
230, 0.509368
231, 1.6285
232, 1.63099
233, 0.241211
234, -1.15203
235, -1.23009
236, -0.368315
237, -0.0251505
238, -0.733459
239, -1.37539
240, -0.7071
241, 0.898951
242, 1.82665
243, 1.23816
244, 0.0924143
245, -0.168823
246, 0.485377
247, 0.70851
248, -0.324433
249, -1.69789
250, -1.8627
251, -0.626277
252, 0.5981
253, 0.612112
254, -0.07882
255, -0.059615
